GEOID,totp,medincome,pmale,pwhite,pblk,pasn,phisp,poor,punemp,pcol,p65old,NAME,lifeexp,popd,parks,envind,costb,hins
6067008138,3265,55865,0.5185298621745789,0.7320061255742726,0.02909647779479326,0.019295558958652374,0.18131699846860644,Low,0.03905053598774885,0.23222124670763827,0.18039816232771821,Other,78.8,5112.83,3,29,0.212,0.24719999999999998
6067008139,3532,38557,0.4742355605889015,0.5481313703284258,0.14467723669309174,0.09711211778029445,0.19252548131370328,Low,0.19810725552050473,0.22008803521408563,0.1245753114382786,Other,78.6,6516.93,2,29,0.292,0.2238
6067008140,2290,67712,0.42052401746724893,0.9034934497816594,0.003930131004366812,0.020087336244541485,0.07248908296943231,Low,0.08287292817679558,0.2270133164235891,0.15109170305676856,Citrus Heights,78.6,4547,4,27,0.298,0.15310000000000001
6067008141,7291,42091,0.5128240296255657,0.5472500342888492,0.08846523110684405,0.022630640515704292,0.30955973117542174,Low,0.052732502396931925,0.11894760114967942,0.08613358935674119,Citrus Heights,75.5,8408.25,4,23,0.228,0.2672
6067008142,3768,50953,0.5047770700636943,0.7786624203821656,0.0018577494692144374,0.02945859872611465,0.17223991507430997,Low,0.058333333333333334,0.1648793565683646,0.07537154989384288,Citrus Heights,76.3,5732.27,4,23,0.22699999999999998,0.1832
6067008143,4294,50158,0.5365626455519329,0.7761993479273405,0.019795062878435025,0.027480204937121566,0.16604564508616673,Low,0.11581920903954802,0.19329608938547485,0.08220773171867722,Other,77.1,4573.04,5,25,0.282,0.1388
6067008144,2475,76042,0.4892929292929293,0.858989898989899,0.0048484848484848485,0,0.12767676767676767,Low,0.05163636363636363,0.30227398779811426,0.07797979797979798,Other,78.71533333333333,4682.36,2,24,0.262,0.1833
6067008145,7190,85365,0.513769123783032,0.7721835883171071,0.03240611961057024,0.07468706536856745,0.08636995827538248,Low,0.06603194103194103,0.2550321643494501,0.11974965229485396,Other,79.8,5614.79,6,27,0.253,0.131
6067008203,4964,67708,0.47643029814665594,0.8646253021756648,0.01893634165995165,0.016116035455278,0.08823529411764706,Low,0.04780487804878049,0.2610709117221418,0.1597502014504432,Other,78.71533333333333,2022.72,10,32,0.221,0.11869999999999999
6067008204,4110,59904,0.5104622871046228,0.7705596107055961,0.05766423357664233,0.04111922141119222,0.09245742092457421,Low,0.0751201923076923,0.2750607006590357,0.16253041362530413,Other,77.2,4481.26,2,32,0.21899999999999997,0.0587
6067008206,5326,77961,0.47878332707472776,0.7838903492301915,0.049943672549755916,0.045061960195268494,0.07923394667668043,Low,0.051833122629582805,0.24035087719298245,0.09800976342470898,Other,80.8,5176.17,5,33,0.253,0.1638
6067008207,4615,77611,0.49447453954496207,0.8468039003250271,0,0.02210184182015168,0.09729144095341279,Low,0.05712979890310786,0.29435483870967744,0.12654387865655473,Other,80.1,3127.61,6,36,0.233,0.13119999999999998
6067008208,4743,44792,0.5414294750158127,0.833438751844824,0.01644528779253637,0.006535947712418301,0.09213577904279992,Low,0.14191616766467066,0.15924474527965798,0.10731604469744888,Other,79.4,3359.57,6,31,0.231,0.11470000000000001
6067008209,3674,84750,0.45209580838323354,0.8614589003810561,0.015786608600979857,0.040283070223189985,0.06967882416984214,Low,0.04320636725412166,0.4398663697104677,0.1467065868263473,Other,80.4,3036.37,8,39,0.225,0.0782
6067008210,5161,80192,0.4828521604340244,0.8473164115481496,0.022476264289866304,0.03700833171865917,0.08370470838984694,Low,0.07026523964634714,0.37545313309166234,0.24161984111606277,Other,81.2,2629.33,8,38,0.254,0.0603
6067008211,3036,77619,0.5286561264822134,0.8066534914361001,0.009552042160737812,0.011198945981554678,0.1320816864295125,Low,0.06365655070318282,0.24071394114809455,0.12055335968379446,Other,79.6,964.4,12,33,0.307,0.0719
6067008402,5033,74087,0.4484402940592092,0.83429366183190945,0,0.03715477846214981,0.12219352274985099,Low,0.07660455486542443,0.37884057971014495,0.12139876813033976,Folsom,84.2,4391.19,8,41,0.24100000000000002,0.09449999999999999
6067008403,4647,73138,0.48590488487196043,0.7426296535399183,0.029051000645577793,0.11900150634818163,0.08500107596298688,Low,0.035964912280701755,0.4048716260697828,0.11943189154293092,Folsom,77,4575.39,15,41,0.23800000000000002,0.054400000000000004
6067008404,3068,43883,0.46153846153846156,0.7829204693611473,0.024119947848761408,0.05084745762711865,0.11245110821382008,Low,0.126770060687795,0.20409112040911204,0.13983050847457626,Other,75,3154.55,11,42,0.249,0.2346
6067008501,5698,116215,0.48595998595998596,0.7183222183222183,0.0019305019305019305,0.1146016146016146,0.10863460863460864,Low,0.06289089645587213,0.477124183006536,0.06511056511056511,Other,83.1,2710.19,11,40,0.23199999999999998,0.060700000000000004
6067008504,3950,112109,0.4564556962025316,0.7091139240506329,0.020759493670886076,0.17772151898734176,0.060759493670886074,Low,0.05541810984661059,0.5575405068550062,0.04227848101265823,Other,85.7,1929,12,31,0.228,0.0562
6067008505,2137,114896,0.47075339260645765,0.727187646233037,0,0.11417875526438934,0.12072999532054282,Low,0.09615384615384616,0.448569218870843,0.09733270940570894,Folsom,80.7,4628.74,7,38,0.245,0.0761
6067008506,2360,57825,0.5046610169491526,0.6521186440677966,0,0.3029661016949153,0.023728813559322035,Low,0.032330827067669175,0.45298672566371684,0.1271186440677966,Folsom,80.7,5884.36,10,39,0.244540192926045,0.1116
6067008507,3108,80891,0.4880952380952381,0.6875804375804376,0,0.166988416988417,0.11647361647361647,Low,0.08857336037863421,0.518536826495304,0.08204633204633205,Folsom,80.4,2622.3,5,39,0.23399999999999999,0.0907
6067008508,6449,99479,0.49589083578849436,0.6413397425957513,0.0603194293688944,0.18561017211970848,0.10280663668785858,Low,0.04996505939902166,0.5637254901960784,0.058613738564118466,Other,82.9,936.24,9,41,0.24600000000000002,0.026699999999999998
6067008509,4377,125366,0.48846241718071737,0.6588987891249715,0.01644962302947224,0.18620059401416494,0.10715101667809002,Low,0.051217038539553755,0.6011751744399559,0.06602695910440941,Folsom,82.7,5547.02,15,40,0.24,0.056100000000000004
6067008510,4181,114483,0.4848122458741928,0.7333173881846449,0.026070318105716337,0.1504424778761062,0.07079646017699115,Low,0.042212518195050945,0.5846759756534192,0.058359244199952164,Folsom,85.1,3080.59,18,41,0.215,0.0401
6067008512,3512,138622,0.5085421412300684,0.6742596810933941,0.01082004555808656,0.1600227790432802,0.09225512528473805,Low,0.05155807365439093,0.6188543076229138,0.047266514806378133,Folsom,82,2472.44,4,40,0.231,0.006
